[2022-06-12 04:30:25] [INFO]: 当前版本:v1.0.0-rc1 
[2022-06-12 04:30:25] [INFO]: 将使用 device.json 内的设备信息运行Bot. 
[2022-06-12 04:30:25] [INFO]: Bot将在5秒后登录并开始信息处理, 按 Ctrl+C 取消. 
[2022-06-12 04:30:30] [INFO]: 开始尝试登录并同步消息... 
[2022-06-12 04:30:30] [INFO]: 使用协议: iPad 
[2022-06-12 04:30:34] [INFO]: Protocol -> connect to server: 43.154.240.13:8080 
[2022-06-12 04:30:37] [INFO]: 收到服务器地址更新通知, 将在下一次重连时应用.  
[2022-06-12 04:30:38] [INFO]: 登录成功 欢迎使用: 小八的狐狸耳朵~ 
[2022-06-12 04:30:38] [INFO]: 开始加载好友列表... 
[2022-06-12 04:30:38] [INFO]: 共加载 4 个好友. 
[2022-06-12 04:30:38] [INFO]: 开始加载群列表... 
[2022-06-12 04:30:39] [INFO]: 共加载 5 个群. 
[2022-06-12 04:30:39] [INFO]: 资源初始化完成, 开始处理信息. 
[2022-06-12 04:30:39] [INFO]: アトリは、高性能ですから! 
[2022-06-12 04:30:39] [INFO]: 开始尝试连接到反向WebSocket Universal服务器: ws://127.0.0.1:15510/cqhttp/ws/ 
[2022-06-12 04:30:39] [INFO]: 正在检查更新. 
[2022-06-12 04:30:39] [INFO]: 已连接到反向WebSocket Universal服务器 ws://127.0.0.1:15510/cqhttp/ws/ 
[2022-06-12 04:30:40] [INFO]: 当前有更新的 go-cqhttp 可供更新, 请前往 https://github.com/Mrs4s/go-cqhttp/releases 下载. 
[2022-06-12 04:30:40] [INFO]: 当前版本: v1.0.0-rc1 最新版本: v1.0.0-rc2 
[2022-06-12 04:30:44] [INFO]: 开始诊断网络情况 
[2022-06-12 04:30:49] [WARNING]: 警告: 长消息响应延迟为 2161ms, 大于 1000ms, 可能导致无法接收/发送长消息的情况, 请检查本地网络状态. 
[2022-06-12 04:30:49] [INFO]: 网络诊断完成. 未发现问题 
[2022-06-12 07:19:57] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 时之沙(2934771083) 的消息: 你腰子太虚 (1394766063) 
[2022-06-12 07:19:59] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 时之沙(2934771083) 的消息: [CQ:face,id=178] (606421113) 
[2022-06-12 09:31:49] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 圣徒的亡灵(1339837523) 的消息: 色图呢 (-1170090534) 
[2022-06-12 10:15:54] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 Boasd(799460742) 的消息: [CQ:image,file=80a151d277de76add06bc50824acaa9f.image,subType=1] (-850991796) 
[2022-06-12 10:17:43] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 时之沙(2934771083) 的消息: [CQ:image,file=b3bbbd10e30b6c05ef35766efd4a550e.image,subType=0] (1414509814) 
[2022-06-12 12:29:37] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 Ahoge(1195074247) 的消息: [CQ:image,file=b3bbbd10e30b6c05ef35766efd4a550e.image,subType=0] (591955040) 
[2022-06-12 12:36:11] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 圣徒的亡灵(1339837523) 的消息: [CQ:image,file=b3bbbd10e30b6c05ef35766efd4a550e.image,subType=0] (-1275618831) 
[2022-06-12 13:37:31] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 阿格努(710621309) 的消息: 赤影战士？ (-990860953) 
[2022-06-12 13:40:41] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 阿格努(710621309) 的消息: [CQ:image,file=5e549960870988fbcf9c10d22ebb2f90.image,subType=0] (1831649469) 
[2022-06-12 17:15:45] [INFO]: 发送群 Py QQbot(813476953) 的消息: Tm发了新视频「欲求 ... (1675151540) 
[2022-06-12 17:15:46] [INFO]: 发送群 Py QQbot(813476953) 的消息: 本条动态地址为htt ... (350222370) 
[2022-06-12 19:40:17] [INFO]: 收到群 kenshi汉化和mod研究及暖(696654735) 内 阿格努(710621309) 的消息: [CQ:image,file=793b24cfbcc3d01695a582619852b751.image,subType=1] (439087147) 
[2022-06-12 19:57:39] [INFO]: 发送群 Py QQbot(813476953) 的消息: 秦喵喵发了新动态：  ... (-1915311720) 
[2022-06-12 19:57:40] [INFO]: 发送群 Py QQbot(813476953) 的消息: 本条动态地址为htt ... (-86927090) 
[2022-06-12 20:48:39] [INFO]: 发送群 Py QQbot(813476953) 的消息: 秦喵喵发了新动态：  ... (1689586861) 
[2022-06-12 20:48:39] [INFO]: 发送群 Py QQbot(813476953) 的消息: 本条动态地址为htt ... (330447931) 
[2022-06-12 23:51:39] [INFO]: 发送群 Py QQbot(813476953) 的消息: 秦喵喵发了新动态：  ... (-1967428223) 
[2022-06-12 23:51:41] [INFO]: 发送群 Py QQbot(813476953) 的消息: [CQ:image, ... (-37987049) 
[2022-06-12 23:51:42] [INFO]: 发送群 Py QQbot(813476953) 的消息: 本条动态地址为htt ... (1828929670) 
